Name,Team.x,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,last_name,first_name,season,position,depth_chart_position,jersey_number,status,full_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,update_dt,headshot_url,headshot_url2,name,position.y,depth_chart_position.y,Team.y,position.z,depth_chart_position.z
"Abdullah, Ameer",MIN,ATL,6,1.3,4500,1.8,4000,1.3,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,CAR,12,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,CHI,15,0,4500,0,4800,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,DAL,11,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,DET,9,8.7,4500,9.2,4000,8.7,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,GNB,1,0,4700,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,JAC,13,3.4,4500,3.9,4000,3.4,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,TEN,3,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,CHI,10,0,4500,0,4000,0,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
"Abdullah, Ameer",MIN,DET,17,8.2,4500,9.7,4000,8.2,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,Abdullah,Ameer,2020,RB,RB,31,Active,Ameer Abdullah,1993-06-13,5-9,203,Nebraska,Homewood (AL),00-0032104,2576336,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,28442,10126,9487,16815,2359,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576336.png' height='20'></img>,"Abdullah, Ameer",,,,,
